Disease_Name,treatment,Description,extra comments
Hypoglycemia,"Check your blood sugar level regularly and be aware of the symptoms of a low blood sugar level so you can treat it quickly.;Use a continuous glucose monitor (CGM) or flash monitor to see how your blood sugar levels are changing. Ask your diabetes care team about getting a monitor if you do not already have one.Always carry a sugary snack or drink with you, such as glucose tablets, a carton of fruit juice or some sweets. If you have a glucagon injection kit, always keep it with you.;Do not skip meals.;Be careful when drinking alcohol. Do not drink large amounts, check your blood sugar level regularly, and eat a carbohydrate snack afterwards.;
Be careful when exercising; eating a carbohydrate snack before exercise can help to reduce the risk of a hypo. If you take some types of diabetes medicine, your doctor may recommend you take a lower dose before or after doing intense exercise.;Have a carbohydrate snack, such as toast, if your blood sugar level drops too low while you're asleep (nocturnal hypoglycaemia).", Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions â€” many rare â€” can cause low blood sugar in people who don't have diabetes.,"They may need to go to hospital if they're being sick (vomiting), or their blood sugar level drops again.;Tell your diabetes care team if you ever have a severe hypo that caused you to lose consciousness."
Acne,topical retinoids;topical antibiotics;azelaic acid;antibiotic tablets,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.","Do not wash affected areas of skin more than twice a day. Frequent washing can irritate the skin and make symptoms worse.;Wash the affected area with a mild soap or cleanser and lukewarm water. Very hot or cold water can make acne worse.;Do not try to ""clean out"" blackheads or squeeze spots. This can make them worse and cause permanent scarring.;Avoid make-up, skincare and suncare products that are oil-based (sometimes labelled “comedogenic”). Use water-based non-comedogenic products, as they’re less likely to block the pores in your skin."
Diabetes ,"If you're diagnosed with diabetes, you'll need to eat healthily, take regular exercise and have regular checks including blood tests.;You can use the BMI healthy weight calculator to check whether you're a healthy weight.;Try to quit smoking if you smoke, and cut down on alcohol.;People diagnosed with type 1 diabetes also require regular insulin injections for the rest of their life.","Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.","Weight loss is common in people with type 1 diabetes when it first develops and before it's treated, but it's less common in people with type 2 diabetes.;Many people have type 2 diabetes for years without realising because the early symptoms tend to be general, or there are no symptoms at all."
Impetigo,"stay away from school or work;keep sores, blisters and crusty patches clean and dry;cover them with loose clothing or gauze bandages;wash your hands frequently;If it's impetigo, they can prescribe antibiotic cream to speed up your recovery or antibiotic tablets if it's very bad.;Sometimes, the GP might be able to prescribe a non-antibiotic cream.","Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.",
Hypertension ,"lifestyle changes;medicines ACE inhibitors – such as enalapril, lisinopril, perindopril and ramipril angiotensin-2 receptor blockers (ARBs) – such as candesartan, irbesartan, losartan, valsartan and olmesartan;What works best is different for each person.;Talk to your doctor to help you decide about treatment.","Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.",reduce the amount of salt you eat and have a generally healthy diet;cut back on alcohol;lose weight if you're overweight;exercise regularly;cut down on caffeine;stop smoking
Peptic ulcer diseae,avoid fatty spicy food;consume probiotic food;eliminate milk;limit alcohol,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",
Dimorphic hemmorhoids(piles),"creams to ease the pain, itching and swelling;treatment to help constipation and soften poo;cold packs to ease discomfort","Hemorrhoids, also spelled haemorrhoids, are vascular structures in the anal canal. In their ... Other names, Haemorrhoids, piles, hemorrhoidal disease .",drink lots of fluid and eat plenty of fibre to keep your poo soft;wipe your bottom with damp toilet paper;take paracetamol if piles hurt;take a warm bath to ease itching and pain;use an ice pack wrapped in a towel to ease discomfort;gently push a pile back inside
Common Cold,ease aches or lower a temperature with painkillers like paracetamol or ibuprofen;relieve a blocked nose with decongestant sprays or tablets;Decongestants should not be given to children under 6. Children aged 6 to 12 should take them for no longer than 5 days.;Be careful not to use cough and cold medicines if you're taking paracetamol and ibuprofen tablets. Cough and cold medicines often also contain paracetamol and ibuprofen so it can be easy to take more than the recommended dose.,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",rest and sleep;drink plenty of water (fruit juice or squash mixed with water is OK) to avoid dehydration;gargle salt water to soothe a sore throat (not suitable for children)
Chicken pox,drink plenty of fluid (try ice lollies if your child is not drinking) to avoid dehydration;take paracetamol to help with pain and discomfort;cut your child's fingernails and put socks on their hands at night to stop them scratching;use cooling creams or gels from a pharmacy;speak to a pharmacist about using antihistamine medicine to help itching;bathe in cool water and pat the skin dry (do not rub),"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.","The chickenpox spots look the same on children and adults. But adults usually have a high temperature for longer and more spots than children.;It's possible to get chickenpox more than once, but it's unusual."
Cervical spondylosis,Painkillers like paracetamol and ibuprofen can help ease neck pain and stiffness.;Ask a pharmacist if they can recommend stronger painkillers if you need them.,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).","The GP may give you more exercises to do and recommend you carry out your usual activities as much as possible.;The GP may also prescribe a muscle relaxant or other medicine if the pain has been coming and going for a long time (chronic pain).;It usually takes a few weeks for treatment to work, although the pain and stiffness can come back."
Hyperthyroidism,"medicine that stops your thyroid producing too much of the thyroid hormones;radioiodine treatment – where a type of radiotherapy is used to destroy cells in the thyroid, reducing its ability to produce thyroid hormones;surgery to remove some or all of your thyroid, so that it no longer produces thyroid hormones","Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.","some medicines such as amiodarone, which can be used to treat an irregular heartbeat (arrhythmia)"
Urinary tract infection,"take?paracetamol?up to 4 times a day to reduce pain and a high temperature – for people with a UTI, paracetamol is usually recommended over NSAIDs such as ibuprofen or aspirin;you can give children?liquid paracetamol;rest and drink enough fluids so you pass pale urine regularly during the day","Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.","If your UTI comes back after treatment, or you have 2 UTIs in 6 months, a GP may:;prescribe a different antibiotic or prescribe a low-dose antibiotic to take for up to 6 months;prescribe a vaginal cream containing oestrogen, if you have gone through the menopause;refer you to a specialist for further tests and treatments"
Varicose veins,"If treatment is necessary, your doctor may first recommend using compression stockings, taking regular exercise and elevating the affected area when resting.;If your varicose veins are still causing you pain or discomfort, or they cause complications, they can be treated in several ways.;The most common treatment options include:
endothermal ablation – where heat is used to seal affected veins sclerotherapy – this uses special foam to close the veins ligation and stripping – the affected veins are surgically removed","A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs.","avoiding standing or sitting still for long periods and trying to move around every 30 minutes;taking regular breaks throughout the day, raising the legs on pillows while resting to ease discomfort;exercising regularly – this can improve circulation and help maintain a healthy weight"
AIDS,"Antiretroviral medicines are used to treat HIV. They work by stopping the virus replicating in the body, allowing the immune system to repair itself and preventing further damage.;These come in the form of tablets, which need to be taken every day.;HIV is able to develop resistance to a single HIV medicine very easily, but taking a combination of different medicines makes this much less likely.;Most people with HIV take a combination of medicines. It's vital these are taken every day as recommended by your doctor.","Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",take regular exercise;eat a healthy diet;stop smoking;have yearly flu jabs to minimise the risk of getting serious illnesses
Paralysis (brain hemorrhage),,"Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body.",
Typhoid,"If typhoid fever is diagnosed early, the infection is likely to be mild and can usually be treated at home with a 7- to 14-day course of antibiotic tablets.;More severe typhoid fever usually requires admission to hospital so antibiotic injections can be given.;With prompt antibiotic treatment, most people will start to feel better within a few days and serious complications are very rare.","An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",It’s important to get vaccinated against typhoid fever if you’re travelling to a high risk area because some strains of the typhoid bacteria are becoming resistant to antibiotics.;Vaccination is particularly important if you're planning to live or work closely with local people.
Hepatitis B,"Hepatitis B usually clears up on its own without treatment. You may be offered medicine to help with the symptoms, such as painkillers or medicines to stop you feeling sick.;Your GP will refer you to see a liver specialist who will check how well your liver is working.;If hepatitis B lasts for over 6 months it is called long-term (chronic) hepatitis B.;It is usually treated with antivirals and medicine to help relieve symptoms such as itchiness, pain, and sickness. You will also need to see a liver specialist for regular check-ups.","Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.","rest and stay hydrated;take painkillers like paracetamol and ibuprofen – ask your doctor for advice about how much paracetamol you should take as you may not be able to take a normal dose;keep your room well ventilated, wear loose clothing and avoid hot showers and baths if you feel itchy"
Fungal infection,,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",
Hepatitis C,"Hepatitis C can be treated with medicines that stop the virus multiplying inside the body. These usually need to be taken for several weeks.;Until recently, most people would have taken 2 main medicines called pegylated interferon (a weekly injection) and ribavirin (a capsule or tablet).;Tablet-only treatments are now available.;These new hepatitis C medicines have been found to make treatment more effective, are easier to tolerate, and have shorter treatment courses.;They include sofosbuvir and daclatasvir.;Using the latest medications, more than 90% of people with hepatitis C may be cured.","Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.","not sharing any drug-injecting equipment with other people – including needles and other equipment, such as syringes, spoons and filters;not sharing razors or toothbrushes that might be contaminated with blood"
Migraine,painkillers such as ibuprofen and paracetamol;medicines called triptans;medicines that stop you feeling sick or being sick;You may have to try a combination of medicines before you find something that works.,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.","try sleeping or lying down in a darkened room during a migraine;try to avoid things you know trigger your migraines, such as certain foods;stay well hydrated and limit how much caffeine and alcohol you drink;try to keep to a healthy weight"
Bronchial Asthma,,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",
Alcoholic hepatitis,"Stopping drinking will usually allow your liver to recover, but there's a risk you could eventually develop cirrhosis, liver failure or liver cancer if you continue to drink alcohol excessively.;You can reduce your risk of developing alcoholic hepatitis by controlling how much you drink.;It's recommended that you do not regularly drink more than 14 units of alcohol a week.","Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol",
Jaundice,Treatments for jaundice depend on what's causing it.,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it",
Hepatitis E,"There's no vaccine for hepatitis E. When travelling to parts of the world with poor sanitation, where epidemic hepatitis E may be common, you can reduce your risk by practising good food and water hygiene measures.",A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.,"Hepatitis E is generally a mild and short-term infection that does not require any treatment, but it can be serious in some people, such as those who have a weakened immune system."
Dengue,resting;drinking plenty of fluids;taking paracetamol to help bring down your temperature and ease any pain;Do not take anti-inflammatory painkillers like ibuprofen or aspirin. These can cause bleeding problems if you have dengue.,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. â€” called also breakbone fever, dengue fever.","wear long-sleeved clothing and trousers to cover your arms and legs, particularly during early morning and early evening;use insect repellent on your skin (ideally one that contains the ingredient DEET);close windows and doors whenever possible, or use blinds or screens"
Hepatitis D,"Long-term infection with hepatitis D and hepatitis B can increase your risk of developing serious problems, such as cirrhosis and liver cancer.;There's no vaccine specifically for hepatitis D, but the hepatitis B vaccine can help protect you from it.","Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).",
Heart attack,"While waiting for an ambulance, it may help to chew and then swallow a tablet of aspirin (ideally 300mg), as long as the person having a heart attack is not allergic to aspirin.;Aspirin helps to thin the blood and improves blood flow to the heart.","The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.","smokers should quit smoking;lose weight if you're overweight or obese;do regular exercise – adults should do at least 150 minutes (2 hours and 30 minutes) of moderate-intensity aerobic activity each week, unless advised otherwise by the doctor in charge of your care;eat a low-fat, high-fibre diet, including wholegrains and at least 5 portions of fruit and vegetables a day"
Pneumonia,You'll usually be given antibiotics to treat pneumonia. Most people get better in 2 to 4 weeks.;Some people are more at risk of becoming seriously ill. You may need to go to hospital for treatment if:you're over 65;you have cardiovascular disease or a long-term lung condition;your baby or young child has pneumonia;you're very unwell;In hospital you'll usually be given fluids and antibiotics to treat the infection. You may also be given oxygen to help you breathe.,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.",rest until you feel better – try to stay at home and avoid contact with other people if you have a high temperature or do not feel well enough to do normal activities;drink plenty of fluids;take paracetamol or ibuprofen to help with pain or a high temperature;cover your mouth and nose with a tissue when you cough or sneeze
Arthritis,"There's no cure for arthritis, but there are many treatments that can help slow it down.;Osteoarthritis treatments include lifestyle changes, medicines and surgery.;Treatment for rheumatoid arthritis aims to slow the condition's progress and minimise joint inflammation. This helps prevent joint damage.;Treatments include medicine, physiotherapy and surgery.","Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis.",
Gastroenteritis,,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",
Tuberculosis,"The main treatment for tuberculosis (TB) is to take antibiotics for at least 6 months.;If TB has spread to your brain, spinal cord or the area around your heart, you may also need to take steroid medicine for a few weeks.;If you have TB but do not have symptoms (latent TB) you usually need to take antibiotics for 3 to 6 months.","Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.","It's important to take your antibiotics correctly and until you've completed the course, even if you feel better. If you stop your treatment early, TB could come back."
